candidate_id,rank,score,reasoning
CAND_0068351,11,0.903,"Strong match: Lead AI Engineer, 6.4 YOE; core stack Elasticsearch, Ranking Systems, Information Retrieval Systems, Search Backend. Product/SaaS background aligns with in-house AI role. Moderate availability (response 86%, notice 90d). Career text shows shipped/production ML work. Based in Delhi, Delhi — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0011687,12,0.894,"Strong match: Senior NLP Engineer, 7.8 YOE; core stack OpenSearch, FAISS, Embeddings, Semantic Search. Built at product companies — fits startup shipping culture vs pure services. Strong availability (response 89%, 15d notice). Career text shows shipped/production ML work. India-based (Indore, Madhya Pradesh); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0081846,13,0.8851,"Strong match: Lead AI Engineer, 6.7 YOE; core stack Information Retrieval, Elasticsearch, Vector Search, Embeddings. Current path is product engineering, matching JD's in-house builder focus. Strong availability (response 73%, 30d notice). Career text shows shipped/production ML work. India-based (Jaipur, Rajasthan); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0064326,14,0.876,"Strong match: Search Engineer, 7.6 YOE; core stack Semantic Search. SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 94%, notice 45d). Career text shows shipped/production ML work. Based in Gurgaon, Haryana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0030468,15,0.867,"Strong match: Senior Applied Scientist, 5.4 YOE; core stack Information Retrieval Systems, Search & Discovery, Ranking Systems, OpenSearch. Product/SaaS background aligns with in-house AI role. Moderate availability (response 78%, notice 45d). Career text shows shipped/production ML work. India-based (Indore, Madhya Pradesh); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0099806,16,0.8581,"Strong match: AI Engineer, 4.6 YOE; core stack FAISS, Embeddings, Elasticsearch. Built at product companies — fits startup shipping culture vs pure services. Strong availability (response 76%, 30d notice). Career text shows shipped/production ML work. India-based (Bhubaneswar, Odisha); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0006418,17,0.849,"Strong match: Machine Learning Engineer, 5.7 YOE; core stack Semantic Search, Embeddings, Elasticsearch, OpenSearch. Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 92%, notice 60d). Career text shows shipped/production ML work. Based in Gurgaon, Haryana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0065195,18,0.8401,"Strong match: Search Engineer, 5.1 YOE; core stack Elasticsearch. SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 80%, notice 45d). Career text shows shipped/production ML work. India-based (Kolkata, West Bengal); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0030031,19,0.8312,"Strong match: AI Engineer, 5.7 YOE; core stack Information Retrieval, Vector Search. Product/SaaS background aligns with in-house AI role. Strong availability (response 94%, 30d notice). Career text shows shipped/production ML work. India-based (Trivandrum, Kerala); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0079387,20,0.8222,"Strong match: AI Engineer, 6.9 YOE; core stack Vector Search, OpenSearch. Built at product companies — fits startup shipping culture vs pure services. Strong availability (response 81%, 30d notice). Career text shows shipped/production ML work. India-based (Trivandrum, Kerala); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0076163,21,0.8132,"Strong match: NLP Engineer, 6.9 YOE; core stack Semantic Search, Elasticsearch, OpenSearch. Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 84%, notice 60d). Career text shows shipped/production ML work. India-based (Chandigarh, Chandigarh); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0027691,22,0.8042,"Strong match: NLP Engineer, 6.5 YOE; core stack Embeddings, Semantic Search. SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Strong availability (response 68%, 15d notice). Career text shows shipped/production ML work. Based in Pune, Maharashtra — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0020350,23,0.7953,"Strong match: AI Engineer, 5.8 YOE; core stack FAISS, Vector Search. Product/SaaS background aligns with in-house AI role. Strong availability (response 58%, 30d notice). Career text shows shipped/production ML work. India-based (Jaipur, Rajasthan); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0064904,24,0.7864,"Strong match: AI Engineer, 4.9 YOE; core stack Embeddings, Elasticsearch, Vector Search, OpenSearch. Built at product companies — fits startup shipping culture vs pure services. Moderate availability (response 78%, notice 90d). Career text shows shipped/production ML work. Based in Hyderabad, Telangana — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0008295,25,0.7775,"Strong match: AI Research Engineer, 6.5 YOE; core stack BM25, Kubernetes, Python, PEFT. Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 89%, notice 45d). Career text shows shipped/production ML work. Based in Pune, Maharashtra — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0078002,26,0.7686,"Strong match: Machine Learning Engineer, 6.3 YOE; core stack Statistical Modeling, pgvector, Flask, FastAPI. SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 86%, notice 60d). Career text shows shipped/production ML work. India-based (Coimbatore, Tamil Nadu); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0050454,27,0.7597,"Strong match: AI Engineer, 6.8 YOE; core stack FAISS. Product/SaaS background aligns with in-house AI role. Strong availability (response 77%, 30d notice). Career text shows shipped/production ML work. Based in Delhi, Delhi — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0075574,28,0.7508,"Strong match: Machine Learning Engineer, 5.7 YOE; core stack OpenSearch, Vector Search, Elasticsearch. Built at product companies — fits startup shipping culture vs pure services. Moderate availability (response 58%, notice 60d). Career text shows shipped/production ML work. Based in Bangalore, Karnataka — strong fit for JD hubs (Pune/Noida/Bangalore/Delhi-Gurgaon)."
CAND_0037980,29,0.7419,"Strong match: Senior Applied Scientist, 9.0 YOE; core stack Search Infrastructure, Information Retrieval Systems. Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 63%, notice 90d). Career text shows shipped/production ML work. India-based (Kolkata, West Bengal); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0044222,30,0.7329,"Strong match: AI Engineer, 7.7 YOE; core stack Vector Search, OpenSearch. SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 60%, notice 60d). Career text shows shipped/production ML work. India-based (Vizag, Andhra Pradesh); relocation may be needed vs preferred Pune/Noida/Bangalore/Delhi-Gurgaon."
CAND_0088025,31,0.725,"Solid bench: Staff Machine Learning Engineer (8.6 YOE) — Elasticsearch. Moderate availability (response 83%, notice 90d). Product/SaaS background aligns with in-house AI role."
CAND_0039754,32,0.7155,"Solid bench: Senior Applied Scientist (16.2 YOE) — OpenSearch, Elasticsearch. Strong availability (response 81%, 30d notice). Built at product companies — fits startup shipping culture vs pure services."
CAND_0086022,33,0.7065,"Solid bench: Senior Applied Scientist (5.3 YOE) — Vector Search, Elasticsearch, Embeddings. Moderate availability (response 55%, notice 90d). Current path is product engineering, matching JD's in-house builder focus."
CAND_0092255,34,0.6974,"Solid bench: ML Engineer (5.2 YOE) — Semantic Search, OpenSearch, Vector Search. Moderate availability (response 38%, notice 60d). SaaS/platform tenure suggests end-to-end ownership beyond client delivery."
CAND_0004402,35,0.6885,"Solid bench: AI Research Engineer (6.0 YOE) — OpenSearch. Moderate availability (response 83%, notice 60d). Product/SaaS background aligns with in-house AI role."
CAND_0000031,36,0.6796,"Solid bench: Recommendation Systems Engineer (6.0 YOE) — FAISS, Embeddings, Information Retrieval. Moderate availability (response 91%, notice 60d). Built at product companies — fits startup shipping culture vs pure services."
CAND_0005260,37,0.6707,"Solid bench: Senior NLP Engineer (5.2 YOE) — Information Retrieval, Semantic Search, Embeddings. Moderate availability (response 86%, notice 60d). Current path is product engineering, matching JD's in-house builder focus."
CAND_0068932,38,0.6618,"Solid bench: ML Engineer (5.2 YOE) — OpenSearch. Strong availability (response 82%, 30d notice). SaaS/platform tenure suggests end-to-end ownership beyond client delivery."
CAND_0062247,39,0.6529,"Solid bench: AI Engineer (7.3 YOE) — Vector Search, Information Retrieval. Strong availability (response 78%, 30d notice). Product/SaaS background aligns with in-house AI role."
CAND_0011162,40,0.644,"Solid bench: Recommendation Systems Engineer (5.8 YOE) — FAISS, Vector Search, OpenSearch, Embeddings. Moderate availability (response 75%, notice 90d). Built at product companies — fits startup shipping culture vs pure services."
CAND_0011327,41,0.6351,"Solid bench: AI Research Engineer (6.3 YOE) — Semantic Search, OpenSearch. Moderate availability (response 79%, notice 60d). Current path is product engineering, matching JD's in-house builder focus."
CAND_0091909,42,0.6262,"Solid bench: Machine Learning Engineer (6.9 YOE) — OpenSearch. Moderate availability (response 65%, notice 45d). SaaS/platform tenure suggests end-to-end ownership beyond client delivery."
CAND_0080766,43,0.6173,"Solid bench: Staff Machine Learning Engineer (8.8 YOE) — Search Backend, Search & Discovery, Search Infrastructure, Information Retrieval Systems. Moderate availability (response 66%, notice 90d). Product/SaaS background aligns with in-house AI role."
CAND_0096142,44,0.6084,"Solid bench: Applied ML Engineer (5.0 YOE) — Kubeflow, LoRA, Weaviate, Pinecone. Moderate availability (response 84%, notice 120d). Built at product companies — fits startup shipping culture vs pure services."
CAND_0010685,45,0.5995,"Solid bench: NLP Engineer (6.7 YOE) — Information Retrieval, Elasticsearch. Strong availability (response 83%, 30d notice). Current path is product engineering, matching JD's in-house builder focus."
CAND_0008425,46,0.5906,"Solid bench: Senior NLP Engineer (7.8 YOE) — Semantic Search, Information Retrieval. Moderate availability (response 66%, notice 90d). SaaS/platform tenure suggests end-to-end ownership beyond client delivery."
CAND_0062561,47,0.5817,"Solid bench: ML Engineer (5.9 YOE) — Information Retrieval. Moderate availability (response 36%, notice 30d). Product/SaaS background aligns with in-house AI role."
CAND_0010149,48,0.5728,"Solid bench: ML Engineer (6.9 YOE) — Vector Search, Elasticsearch. Moderate availability (response 82%, notice 90d). Built at product companies — fits startup shipping culture vs pure services."
CAND_0098952,49,0.5639,"Solid bench: AI Research Engineer (5.5 YOE) — OpenSearch, Semantic Search. Moderate availability (response 66%, notice 45d). Current path is product engineering, matching JD's in-house builder focus."
CAND_0064888,50,0.555,"Solid bench: ML Engineer (5.8 YOE) — Embeddings, Elasticsearch. Strong availability (response 92%, 30d notice). SaaS/platform tenure suggests end-to-end ownership beyond client delivery."
CAND_0091534,51,0.5461,"Reserve: AI Engineer with 16.6 YOE; relevant skills include Hugging Face Transformers, scikit-learn, Diffusion Models, Qdrant. Career text shows shipped/production ML work. Strong availability (response 84%, 30d notice)."
CAND_0061175,52,0.5371,"Reserve: AI Research Engineer with 6.7 YOE; relevant skills include Vector Search. Career text shows shipped/production ML work. Moderate availability (response 48%, notice 120d)."
CAND_0049538,53,0.5282,"Reserve: Applied ML Engineer with 5.8 YOE; relevant skills include OpenSearch, Vector Search, Embeddings, Elasticsearch. Career text shows shipped/production ML work. Strong availability (response 72%, 30d notice)."
CAND_0017093,54,0.5194,"Reserve: ML Engineer with 5.9 YOE; relevant skills include Embeddings. Career text shows shipped/production ML work. Strong availability (response 58%, 30d notice)."
CAND_0010603,55,0.5105,"Reserve: ML Engineer with 5.3 YOE; relevant skills include Information Retrieval, OpenSearch. Career text shows shipped/production ML work. Moderate availability (response 94%, notice 90d)."
CAND_0061339,56,0.5016,"Reserve: Search Engineer with 4.2 YOE; relevant skills include Information Retrieval, Vector Search, OpenSearch. Career text shows shipped/production ML work. Moderate availability (response 90%, notice 90d)."
CAND_0039383,57,0.4927,"Reserve: Applied ML Engineer with 7.1 YOE; relevant skills include FAISS, Vector Search, Elasticsearch. Career text shows shipped/production ML work. Moderate availability (response 61%, notice 90d)."
CAND_0095619,58,0.4837,"Reserve: NLP Engineer with 15.6 YOE; relevant skills include Information Retrieval, Elasticsearch. Career text shows shipped/production ML work. Strong availability (response 90%, 30d notice)."
CAND_0076251,59,0.4748,"Reserve: Search Engineer with 7.6 YOE; relevant skills include Elasticsearch, Semantic Search. Career text shows shipped/production ML work. Moderate availability (response 51%, notice 60d)."
CAND_0068811,60,0.4659,"Reserve: Applied ML Engineer with 8.0 YOE; relevant skills include Vector Search, Embeddings, OpenSearch. Career text shows shipped/production ML work. Moderate availability (response 42%, notice 30d)."
CAND_0094165,61,0.457,"Reserve: AI Research Engineer with 5.8 YOE; relevant skills include Semantic Search. Career text shows shipped/production ML work. Moderate availability (response 78%, notice 90d)."
CAND_0024147,62,0.4481,"Reserve: ML Engineer with 5.9 YOE; relevant skills include OpenSearch. Career text shows shipped/production ML work. Moderate availability (response 84%, notice 60d)."
CAND_0016163,63,0.4392,"Reserve: Applied ML Engineer with 6.7 YOE; relevant skills include Embeddings. Career text shows shipped/production ML work. Moderate availability (response 72%, notice 120d)."
CAND_0033179,64,0.4303,"Reserve: AI Research Engineer with 6.9 YOE; relevant skills include OpenSearch, Information Retrieval. Career text shows shipped/production ML work. Strong availability (response 84%, 30d notice)."
CAND_0051292,65,0.4214,"Reserve: Applied ML Engineer with 5.2 YOE; relevant skills include FAISS, Vector Search, Elasticsearch. Career text shows shipped/production ML work. Strong availability (response 52%, 30d notice)."
CAND_0061265,66,0.4125,"Reserve: Recommendation Systems Engineer with 6.6 YOE; relevant skills include Vector Search, Embeddings. Career text shows shipped/production ML work. Moderate availability (response 94%, notice 120d)."
CAND_0052328,67,0.4036,"Reserve: Recommendation Systems Engineer with 6.5 YOE; relevant skills include OpenSearch, Vector Search. Career text shows shipped/production ML work. Strong availability (response 79%, 30d notice)."
CAND_0052682,68,0.3947,"Reserve: NLP Engineer with 6.6 YOE; relevant skills include Semantic Search, FAISS, Embeddings. Career text shows shipped/production ML work. Strong availability (response 88%, 30d notice)."
CAND_0010541,69,0.3858,"Reserve: AI Research Engineer with 6.2 YOE; relevant skills include Pinecone, GANs, Weaviate, Computer Vision. Career text shows shipped/production ML work. Moderate availability (response 59%, notice 60d)."
CAND_0083307,70,0.3769,"Reserve: Search Engineer with 7.8 YOE; relevant skills include Embeddings, Semantic Search, Vector Search. Career text shows shipped/production ML work. Moderate availability (response 70%, notice 120d)."
CAND_0013536,71,0.368,"Reserve: Applied ML Engineer with 14.1 YOE; relevant skills include Embeddings, Elasticsearch, Vector Search, FAISS. Career text shows shipped/production ML work. Moderate availability (response 87%, notice 90d)."
CAND_0007412,72,0.3591,"Reserve: Applied ML Engineer with 7.4 YOE; relevant skills include Node.js, scikit-learn, Data Science, Pinecone. Career text shows shipped/production ML work. Moderate availability (response 76%, notice 120d)."
CAND_0050876,73,0.3502,"Reserve: Applied ML Engineer with 6.0 YOE; relevant skills include FAISS, OpenSearch. Career text shows shipped/production ML work. Moderate availability (response 67%, notice 90d)."
CAND_0003841,74,0.3413,"Reserve: ML Engineer with 5.0 YOE; relevant skills include Airflow, Spring Boot, Diffusion Models, Statistical Modeling. Career text shows shipped/production ML work. Strong availability (response 71%, 30d notice)."
CAND_0038949,75,0.3324,"Reserve: ML Engineer with 6.4 YOE; relevant skills include Elasticsearch. Career text shows shipped/production ML work. Moderate availability (response 67%, notice 120d)."
CAND_0052706,76,0.3235,"Depth option #76: AI Research Engineer (5.1 YOE). Built at product companies — fits startup shipping culture vs pure services. Moderate availability (response 79%, notice 60d). Research title — included only with some IR overlap; not a primary hire profile."
CAND_0017960,77,0.3146,"Pipeline backup #77: Recommendation Systems Engineer (7.7 YOE). Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 72%, notice 60d)."
CAND_0058575,78,0.3057,"Extended shortlist #78: AI Engineer (5.8 YOE). SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 69%, notice 90d)."
CAND_0036184,79,0.2968,"Lower-priority fit #79: Recommendation Systems Engineer (6.0 YOE). Product/SaaS background aligns with in-house AI role. Strong availability (response 90%, 30d notice)."
CAND_0046132,80,0.2879,"Depth option #80: AI Research Engineer (4.3 YOE). Built at product companies — fits startup shipping culture vs pure services. Strong availability (response 94%, 30d notice). Research title — included only with some IR overlap; not a primary hire profile."
CAND_0074735,81,0.279,"Pipeline backup #81: Applied ML Engineer (5.5 YOE). Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 77%, notice 90d)."
CAND_0027801,82,0.2701,"Extended shortlist #82: NLP Engineer (7.4 YOE). SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 65%, notice 120d)."
CAND_0078785,83,0.2612,"Lower-priority fit #83: AI Research Engineer (6.3 YOE). Product/SaaS background aligns with in-house AI role. Moderate availability (response 91%, notice 120d). Research title — included only with some IR overlap; not a primary hire profile."
CAND_0031752,84,0.2523,"Depth option #84: ML Engineer (5.0 YOE). Built at product companies — fits startup shipping culture vs pure services. Moderate availability (response 82%, notice 120d)."
CAND_0014440,85,0.2434,"Pipeline backup #85: Recommendation Systems Engineer (6.4 YOE). Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 64%, notice 60d)."
CAND_0075491,86,0.2345,"Extended shortlist #86: AI Research Engineer (6.0 YOE). SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 40%, notice 60d). Research title — included only with some IR overlap; not a primary hire profile."
CAND_0066999,87,0.2256,"Lower-priority fit #87: Recommendation Systems Engineer (5.9 YOE). Product/SaaS background aligns with in-house AI role. Strong availability (response 63%, 15d notice)."
CAND_0093883,88,0.2167,"Depth option #88: AI Research Engineer (5.0 YOE). Built at product companies — fits startup shipping culture vs pure services. Moderate availability (response 56%, notice 60d). Research title — included only with some IR overlap; not a primary hire profile."
CAND_0040178,89,0.2078,"Pipeline backup #89: ML Engineer (5.0 YOE). Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 55%, notice 60d)."
CAND_0042506,90,0.1989,"Extended shortlist #90: Search Engineer (4.2 YOE). SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 48%, notice 15d)."
CAND_0007052,91,0.1901,"Lower-priority fit #91: ML Engineer (6.5 YOE). Product/SaaS background aligns with in-house AI role. Moderate availability (response 85%, notice 60d)."
CAND_0077285,92,0.1812,"Depth option #92: Recommendation Systems Engineer (5.5 YOE). Built at product companies — fits startup shipping culture vs pure services. Moderate availability (response 56%, notice 60d)."
CAND_0053695,93,0.1723,"Pipeline backup #93: Recommendation Systems Engineer (5.8 YOE). Current path is product engineering, matching JD's in-house builder focus. Strong availability (response 60%, 15d notice)."
CAND_0049896,94,0.1634,"Extended shortlist #94: Search Engineer (7.3 YOE). SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 43%, notice 90d)."
CAND_0008239,95,0.1545,"Lower-priority fit #95: AI Engineer (4.0 YOE). Product/SaaS background aligns with in-house AI role. Strong availability (response 73%, 15d notice)."
CAND_0036121,96,0.1456,"Depth option #96: ML Engineer (5.2 YOE). Built at product companies — fits startup shipping culture vs pure services. Moderate availability (response 49%, notice 60d)."
CAND_0062413,97,0.1367,"Pipeline backup #97: AI Research Engineer (6.6 YOE). Current path is product engineering, matching JD's in-house builder focus. Moderate availability (response 71%, notice 60d). Research title — included only with some IR overlap; not a primary hire profile."
CAND_0015578,98,0.1278,"Extended shortlist #98: AI Engineer (5.4 YOE). SaaS/platform tenure suggests end-to-end ownership beyond client delivery. Moderate availability (response 65%, notice 90d)."
CAND_0043958,99,0.1189,"Lower-priority fit #99: AI Research Engineer (6.7 YOE). Product/SaaS background aligns with in-house AI role. Moderate availability (response 67%, notice 120d). Research title — included only with some IR overlap; not a primary hire profile."
CAND_0037566,100,0.11,"Depth option #100: Machine Learning Engineer (6.9 YOE). Built at product companies — fits startup shipping culture vs pure services. Strong availability (response 50%, 15d notice)."
